IMU_Q0,IMU_Q1,IMU_Q2,IMU_Q3,Opt_Q0,Opt_Q1,Opt_Q2,Opt_Q3
-0.325361,-0.189842,0.809234,0.450821,0.461482,-0.002878,-0.860971,-0.213906
-0.317621,-0.199573,0.809518,0.451628,0.463965,0.005917,-0.860056,-0.212143
-0.311382,-0.207706,0.809432,0.452459,0.456651,0.014368,-0.862902,-0.216015
-0.308695,-0.212317,0.808643,0.453569,0.470332,0.025249,-0.857826,-0.205632
-0.303476,-0.221871,0.806992,0.455456,0.470398,0.037644,-0.857956,-0.203027
-0.301546,-0.227651,0.805499,0.456526,0.481211,0.053208,-0.853964,-0.190658
-0.301687,-0.234158,0.802888,0.45774,0.462725,0.047616,-0.860172,-0.209098
-0.300796,-0.244181,0.7992,0.459539,0.460503,0.05374,-0.860581,-0.210827
-0.3011,-0.249725,0.796714,0.460677,0.458848,0.067619,-0.860028,-0.21269
-0.301771,-0.259545,0.792002,0.46293,0.454338,0.092556,-0.857843,-0.221621
-0.302017,-0.269146,0.78725,0.465386,0.449279,0.105354,-0.859969,-0.21795
-0.301916,-0.274766,0.784013,0.467626,0.46186,0.100517,-0.857187,-0.204481
-0.301373,-0.287276,0.777319,0.471616,0.464023,0.106832,-0.856408,-0.199587
-0.301844,-0.300749,0.770417,0.474233,0.466022,0.116398,-0.854711,-0.196833
-0.303322,-0.309299,0.765989,0.474964,0.457941,0.126411,-0.857048,-0.199447
-0.305404,-0.31681,0.761574,0.475778,0.444881,0.13027,-0.862862,-0.201442
-0.308813,-0.330089,0.753769,0.476978,0.468104,0.141964,-0.84948,-0.197757
-0.310926,-0.338925,0.748705,0.477384,0.464747,0.145554,-0.854526,-0.18058
-0.312314,-0.346214,0.744691,0.477527,0.475623,0.153435,-0.843621,-0.196325
-0.314594,-0.358329,0.737459,0.478315,0.460824,0.157111,-0.850903,-0.197287
-0.315787,-0.363676,0.733594,0.479436,0.468075,0.163334,-0.846113,-0.195756
-0.318184,-0.370001,0.72775,0.48191,0.47351,0.169892,-0.842102,-0.194396
-0.321756,-0.377863,0.720433,0.484426,0.478729,0.176654,-0.837749,-0.194392
-0.32541,-0.380174,0.716826,0.485526,0.50717,0.185042,-0.82112,-0.185204
-0.332573,-0.384566,0.70969,0.487693,0.496974,0.190723,-0.825759,-0.186448
-0.338283,-0.388263,0.703757,0.489431,0.487066,0.19754,-0.829566,-0.188588
-0.342588,-0.390449,0.699739,0.490458,0.492481,0.204284,-0.825542,-0.184959
-0.349855,-0.395313,0.692133,0.49222,0.497911,0.214834,-0.819191,-0.1867
-0.353615,-0.398495,0.687948,0.492834,0.500351,0.222036,-0.816525,-0.1834
-0.357981,-0.402762,0.682972,0.493135,0.505358,0.23112,-0.810827,-0.183731
